,id,tweet_text,created_at,source,public_metrics,language,retweet_count,reply_count,like_count,quote_count
0,1516981081211236353,@richiexdaddy I always wanted a tarantula but I was scared I’d start panicking if I held it 😭,2022-04-21 03:24:08+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
1,1516980680500031490,RT @HubbleTelescope: The Tarantula Nebula’s claim to fame is that it’s the most active starburst region in the nearby universe. A plethora…,2022-04-21 03:22:33+00:00,Twitter Web App,"{'retweet_count': 122, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,122,0,0,0
2,1516980156191035393,RT @clauddds: @Jadewestissexy the tarantula on that hike,2022-04-21 03:20:28+00:00,Twitter Web App,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
3,1516978749727780871,eu deixava a casa pra tarântula e morava em outro planeta https://t.co/FmssHK3aZS,2022-04-21 03:14:52+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,0,0,0,0
4,1516978568621867009,"If you slide to my crib, you gotta put them eyelashes in your purse ot something. I almost had a heart attack when shorty left them mfs on my bathroom counter. I thought it was a tarantula or something 🤣",2022-04-21 03:14:09+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 4, 'quote_count': 0}",en,0,3,4,0
5,1516978505363464192,RT @mamalucha123: A los que creen que están seguros escuchen. A esta tarántula,2022-04-21 03:13:54+00:00,Twitter for iPhone,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,11,0,0,0
6,1516978053473263616,"..is this a free book bro? ..cause I'm not paying for this drivel
..for free I'd hold onto the book and if you payed me I'd read it
..so to rap up
..you pay me $1,000,000,000 to read your book

@ChrisCuomo vs @BillGates 
word is tarantula 

#WordFight  go! https://t.co/Rf97Y9dsYy https://t.co/eBElAmdSeK",2022-04-21 03:12:06+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
7,1516977164935127042,@HoopsEmpire_ The SPIDER KILLER! AkA The Tarantula HawK!,2022-04-21 03:08:34+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
8,1516976407271788544,Matías encontro una TARÁNTULA EN EL TRABAJO Y SE LA TRAJO A LA CASA QUE HIJO DE MIL PUTA,2022-04-21 03:05:34+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,0,0,0,0
9,1516976015171538945,"RT @Quinvertebrate: Inspired by the cobalt blue tarantula!😊
#pixelart https://t.co/AVjYr31K35",2022-04-21 03:04:00+00:00,Twitter for Android,"{'retweet_count': 27, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,27,0,0,0
10,1516975888377786371,"The scariest part of a tarantula isnt the venom, its the quills. Put my hand out of commission for a bit.",2022-04-21 03:03:30+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
11,1516975517039222784,"@Eli_STF_Captain He still hadn't figured out what to do with her.
*sighs frustrated*
Not even when I caught a tarantula did anything bad happen to me, now with a simple thorn.",2022-04-21 03:02:01+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",en,0,1,1,0
12,1516974475983654912,"RT @zagaz1971: @martuchi63 @g_quadri si cuadri , no seas envidioso, tu sigue tomando vino con la tarántula esa que tienes ahí un lado; boni…",2022-04-21 02:57:53+00:00,Twitter for Android,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,8,0,0,0
13,1516972886690512896,RT @HubbleTelescope: The Tarantula Nebula’s claim to fame is that it’s the most active starburst region in the nearby universe. A plethora…,2022-04-21 02:51:34+00:00,Twitter for Android,"{'retweet_count': 122, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,122,0,0,0
14,1516972152171515907,"@JKnnibal Pues si... Los he comido, también tarántula, culebra, y cuy",2022-04-21 02:48:39+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,0,0,0,0
15,1516971800659378176,"@NutterZeButterz ""assert dominance"" I love that

I see Lily being the only one completely chill with his bugs, just, too many years knowing him

PV crying when his tarantula has babies

”look at my 157 grandchildren""",2022-04-21 02:47:15+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,0,1,0,0
16,1516971605574189056,RT @HubbleTelescope: The Tarantula Nebula’s claim to fame is that it’s the most active starburst region in the nearby universe. A plethora…,2022-04-21 02:46:29+00:00,Twitter for Android,"{'retweet_count': 122, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,122,0,0,0
17,1516971570006089728,"RT @marcella_gail: Because this #spider (c. darlingi) does not have nearly enough webbing around, he is creating more. This is a good view…",2022-04-21 02:46:20+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
18,1516970216395141120,"RT @NASAHubble: The Tarantula Nebula is a huge star-forming region located 170,000 light-years from Earth.

The collection of stars in the…",2022-04-21 02:40:58+00:00,Twitter for iPhone,"{'retweet_count': 835, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,835,0,0,0
19,1516969420433854464,@ti_fernandezzz tarántula????,2022-04-21 02:37:48+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,0,0,0,0
20,1516969371373121537,RT @HubbleTelescope: The Tarantula Nebula’s claim to fame is that it’s the most active starburst region in the nearby universe. A plethora…,2022-04-21 02:37:36+00:00,Twitter for iPhone,"{'retweet_count': 122, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,122,0,0,0
21,1516969024835358722,@Alberto9Herrera Mrs Tarantula. Im super techy,2022-04-21 02:36:14+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pl,0,0,0,0
22,1516968971186040832,acabo de ver una tarántula en la ventana y entre lo que me giré para agarrar el raid y volví a mirar DESAPARECIÓ dios soy yo de nuevo,2022-04-21 02:36:01+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}",es,0,3,1,0
23,1516968844560158721,RT @HubbleTelescope: The Tarantula Nebula’s claim to fame is that it’s the most active starburst region in the nearby universe. A plethora…,2022-04-21 02:35:31+00:00,Twitter for iPhone,"{'retweet_count': 122, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,122,0,0,0
24,1516968808241631236,RT @mamalucha123: A los que creen que están seguros escuchen. A esta tarántula,2022-04-21 02:35:22+00:00,Twitter for Android,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,11,0,0,0
25,1516968430536122368,"@crehujs ITZ UM..
A TARANTULA..
I THINK..
ITZ A SPIDER",2022-04-21 02:33:52+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,0,1,0,0
26,1516968341436567553,"Había una tarántula ENORME en el corredor de mi casa, y yo sola no me animaba a matarla jamás porque me daba miedo😭 así que llamé a mami y me dijo: bueno si no la mata Chester se la come y se muere... Así que agarré valor y le volé un zapatazo. 
Todo por proteger a mi bebé🐶",2022-04-21 02:33:31+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,0,0,0,0
27,1516967014967001088,RT @lobochicloso: Green Bottle Blue Tarantula  ♥ https://t.co/6TNMkpxT9n,2022-04-21 02:28:14+00:00,Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
28,1516966610095177728,RT @mamalucha123: A los que creen que están seguros escuchen. A esta tarántula,2022-04-21 02:26:38+00:00,Twitter for Android,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,11,0,0,0
29,1516965985676406789,"RT @rockosedits: Mr. Wolf, Mr. Piranha, Mr. Snake, Mr. Shark and Ms. Tarantula from The Bad Guys in Rocko's Modern Life style! https://t.co…",2022-04-21 02:24:09+00:00,Twitter for iPhone,"{'retweet_count': 56, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,56,0,0,0
30,1516965538546823168,"RT @Sr_Peter_: Tu misma te humillas, esta acusación que haces pública tendrá sus consecuencias, te espera un juicio tarántula.  
#YoMeRebel…",2022-04-21 02:22:22+00:00,Twitter for Android,"{'retweet_count': 141, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,141,0,0,0
31,1516965264902000645,"RT @zagaz1971: @martuchi63 @g_quadri si cuadri , no seas envidioso, tu sigue tomando vino con la tarántula esa que tienes ahí un lado; boni…",2022-04-21 02:21:17+00:00,Twitter Web App,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,8,0,0,0
32,1516964557591306240,@zagaz1971 @martuchi63 @g_quadri Tranquilo . Yo tengo uno tarántula y no está así de fea,2022-04-21 02:18:29+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,0,0,0,0
33,1516964396706185218,"RT @Quinvertebrate: Inspired by the cobalt blue tarantula!😊
#pixelart https://t.co/AVjYr31K35",2022-04-21 02:17:50+00:00,Twitter,"{'retweet_count': 27, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,27,0,0,0
34,1516963360637550592,"RT @bobdylan: Bob Dylan’s #Tarantula will be published as an audiobook for the first time ever, read by award-winning actor/narrator Will P…",2022-04-21 02:13:43+00:00,Twitter for Android,"{'retweet_count': 158, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,158,0,0,0
35,1516963292236898304,@Jadewestissexy the tarantula on that hike https://t.co/1LiziOarfw,2022-04-21 02:13:27+00:00,Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",en,1,1,1,0
36,1516963168467275782,RT @mamalucha123: A los que creen que están seguros escuchen. A esta tarántula,2022-04-21 02:12:57+00:00,Twitter for iPhone,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,11,0,0,0
37,1516963015815536641,RT @HubbleTelescope: The Tarantula Nebula’s claim to fame is that it’s the most active starburst region in the nearby universe. A plethora…,2022-04-21 02:12:21+00:00,Twitter for iPhone,"{'retweet_count': 122, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,122,0,0,0
