,id,tweet_text,created_at,source,public_metrics,language,retweet_count,reply_count,like_count,quote_count
0,1514450438732587012,RT @Morgand21: I really want to know what Olajuwon does for Katina? I have not seen him plan one thing for her it’s always her doing someth…,2022-04-14 03:48:16+00:00,Twitter for iPhone,"{'retweet_count': 36, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,36,0,0,0
1,1514450410416705537,RT @wherejady: i think Mindy gon fuck the hell out of Zach. Katie and Derek too. #marriedatfirstsight,2022-04-14 03:48:09+00:00,feministArduino,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
2,1514450406902210560,RT @LAjuliemccoy: Does anyone want any of these couples to stay together? Ugh. #MAFSBoston #mafs #MarriedAtFirstSight #MarriedAtFirstSightB…,2022-04-14 03:48:08+00:00,Twitter,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
3,1514450384978419714,RT @TheRichestEbony: Already annoyed with Noi and we only 10 minutes in. #MAFS #MarriedAtFirstSight https://t.co/bt1VvZVzqv,2022-04-14 03:48:03+00:00,Twitter for iPhone,"{'retweet_count': 52, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,52,0,0,0
4,1514450384835821569,"RT @AlexisIsOverIt: Annoying, subliminal-posting bitches like Noi and Kh*loe Karda*shian are why I don’t have Facebook or Instagram. 🥰

#MA…",2022-04-14 03:48:03+00:00,Twitter Web App,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
5,1514450204069490690,Does anyone want any of these couples to stay together? Ugh. #MAFSBoston #mafs #MarriedAtFirstSight #MarriedAtFirstSightBoston,2022-04-14 03:47:20+00:00,Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
6,1514450112692453376,"I’ve seen Michael open up this entire show and Jasmina has not shown one ounce of vulnerability. It’s giving contractual obligations 🙄

#MarriedAtFirstSight #mafs #MarriedAtFirstSightBoston #MAFSBoston",2022-04-14 03:46:58+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,0,0,1,0
7,1514450084641058822,"RT @_littleone19: Sooo, Olajuwon OBVIOUSLY believes in gender roles BUT he doesn’t want to take care of a baby and a wife?!?! Boy, that is…",2022-04-14 03:46:51+00:00,Twitter for Android,"{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,13,0,0,0
8,1514450041838006274,Linds IS TOO FUCKING MUCH and needs to realize that you can not make people get to your fucking level. This man just woke up and look at you!!!! #MarriedAtFirstSightBoston #MarriedAtFirstSight #mafs,2022-04-14 03:46:41+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
9,1514450037782335490,i think Mindy gon fuck the hell out of Zach. Katie and Derek too. #marriedatfirstsight,2022-04-14 03:46:40+00:00,Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
10,1514450022993051650,"RT @realityfun2: Noi is acting immature af. Girl, just stop posting crap about your relationship and respect your husband 😒🤦🏻‍♀️#MarriedAtF…",2022-04-14 03:46:37+00:00,Twitter for iPhone,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,7,0,0,0
11,1514449978407628803,What's up with Noi? Why won't she just tell Steve who the post was about!??! Why is that so hard?  What is she keeping to herself? #MAFSBoston #MarriedAtFirstSightBoston #MarriedAtFirstSight,2022-04-14 03:46:26+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
12,1514449967666151424,"I would hate for Jasmina to miss out on love because she’s not attracted to him, when his efforts, his village, &amp; his mentals IS in &amp; of itself, attractive. Versus he fine AF but dog her out. #MarriedAtFirstSight https://t.co/NJTlnVvRdU",2022-04-14 03:46:24+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
13,1514449904537673735,"RT @bitsofmank: steve got that post memorized word for word, that man is hurting 😭 lmao #MAFS #MarriedatFirstSight",2022-04-14 03:46:09+00:00,Twitter for iPhone,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,5,0,0,0
14,1514449845267828738,Lindsey’s laugh is gonna give me nightmares!😧 #MAFS #MAFSBoston #MarriedAtFirstSight #MarriedAtFirstSightBoston,2022-04-14 03:45:54+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",en,0,0,2,0
15,1514449675549519876,Why is Lindsay like this ? She is a lot and so damn Inappropriate all the time 😂 #mafs #MAFSBoston #MarriedAtFirstSight #MarriedAtFirstSightBoston,2022-04-14 03:45:14+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",en,0,0,3,0
16,1514449623577939978,https://t.co/IvPxiiTnSB #AEWDynamite  Hornets #Survivor  #MAFS  Hawks #MarriedAtFirstSight #RHOC  Moskva  Miles Bridges Brandon Ingram #usa  #love #travel #Biden #Trump #newyork  #instagram   #america  #fashion    #california   #NewYorkCity,2022-04-14 03:45:02+00:00,Buffer,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
17,1514449623112425473,https://t.co/athbLol9ch #AEWDynamite  Hornets #Survivor  #MAFS  Hawks #MarriedAtFirstSight #RHOC  Moskva  Miles Bridges Brandon Ingram #usa  #love #travel #Biden #Trump #newyork  #instagram   #america  #fashion    #california   #NewYorkCity,2022-04-14 03:45:01+00:00,Buffer,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
18,1514449621602521089,https://t.co/Cw5VHkF355 #AEWDynamite  Hornets #Survivor  #MAFS  Hawks #MarriedAtFirstSight #RHOC  Moskva  Miles Bridges Brandon Ingram #usa  #love #travel #Biden #Trump #newyork  #instagram   #america  #fashion    #california   #NewYorkCity,2022-04-14 03:45:01+00:00,Buffer,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
19,1514449621371740163,https://t.co/IL98k4owmk #AEWDynamite  Hornets #Survivor  #MAFS  Hawks #MarriedAtFirstSight #RHOC  Moskva  Miles Bridges Brandon Ingram #usa  #love #travel #Biden #Trump #newyork  #instagram   #america  #fashion    #california   #NewYorkCity,2022-04-14 03:45:01+00:00,Buffer,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
20,1514449610927841283,RT @Luhv_Lee: Noi talks about Steve like he is a bum bitch. The man has a savings and he isn't asking you to buy him shit and to take care…,2022-04-14 03:44:59+00:00,TwitterCryptoWatch,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
21,1514449378374729729,Noi talks about Steve like he is a bum bitch. The man has a savings and he isn't asking you to buy him shit and to take care of him. Noi is gonna end up alone because she refuses to compromise #marriedatfirstsight #mafs #marriedatfirstsightboston,2022-04-14 03:44:03+00:00,Twitter Web App,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,1,0,1,0
22,1514449350038011906,Lindsey is a narcissist nut job.   #MarriedAtFirstSight,2022-04-14 03:43:56+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
23,1514449207796588549,Lindsey bugging the crap outta Mark to get up early then wonders why he says she’s hyper. #mafs #MarriedAtFirstSight #MAFSBoston https://t.co/dDpweeuCED,2022-04-14 03:43:22+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,0,0,1,0
24,1514449179506061319,"RT @BrownViolate: Olajuwon hairline goes further back every time he disrespects Katina 
#MarriedAtFirstSight #MAFS https://t.co/JHV9UwkyMH",2022-04-14 03:43:16+00:00,Twitter for Android,"{'retweet_count': 21, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,21,0,0,0
