,id,tweet_text,created_at,source,public_metrics,language,retweet_count,reply_count,like_count,quote_count
0,1518798872495144962,"RT @Cary_Elwes: Bit not by a ROUS but a rattlesnake. Grateful to the staff of Malibu Urgent Care, LA County Fire Dept. and the staff and me…",2022-04-26 03:47:23+00:00,Twitter Web App,"{'retweet_count': 359, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,359,0,0,0
1,1518798837464240128,"RT @Cary_Elwes: Bit not by a ROUS but a rattlesnake. Grateful to the staff of Malibu Urgent Care, LA County Fire Dept. and the staff and me…",2022-04-26 03:47:15+00:00,Twitter for iPhone,"{'retweet_count': 359, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,359,0,0,0
2,1518798780916768768,"RT @Cary_Elwes: Bit not by a ROUS but a rattlesnake. Grateful to the staff of Malibu Urgent Care, LA County Fire Dept. and the staff and me…",2022-04-26 03:47:01+00:00,Twitter for Android,"{'retweet_count': 359, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,359,0,0,0
3,1518798188827668480,"RT @Cary_Elwes: Bit not by a ROUS but a rattlesnake. Grateful to the staff of Malibu Urgent Care, LA County Fire Dept. and the staff and me…",2022-04-26 03:44:40+00:00,Twitter for Android,"{'retweet_count': 359, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,359,0,0,0
4,1518797784098516992,"'Princess Bride' actor bitten by rattlesnake, shares photo of injury https://t.co/MwYOgkMcMh",2022-04-26 03:43:04+00:00,SocialFlow,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
5,1518797499196186626,Actor Cary Elwes recovering after rattlesnake bite in Malibu https://t.co/1JSDtAaSJ8,2022-04-26 03:41:56+00:00,WordPress.com,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
6,1518797295713673216,@Cary_Elwes @UCLAHealth Rattlesnake of unusual size,2022-04-26 03:41:07+00:00,Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
7,1518796867965968384,@barstoolsports Hopefully he got his sixth or seventh round booster of rattlesnake venom,2022-04-26 03:39:25+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
8,1518796483696349186,"@Cary_Elwes @UCLAHealth Ouch! I hope you recover quickly and completely, Cary. It sounds like you're in excellent hands. It is ""rattlesnake season"" here in CA 🐍.",2022-04-26 03:37:54+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
9,1518796110629724160,"""'Princess Bride' star Cary Elwes hospitalized after being bitten by rattlesnake.""  

Inconceivable!",2022-04-26 03:36:25+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
10,1518796063087366144,"'Princess Bride' actor Cary Elwes survives fire swamp, only to get bit by a rattlesnake and survive that, too  https://t.co/UVMVIZGhti via @KSLcom",2022-04-26 03:36:13+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
11,1518796010117545984,"RT @Cary_Elwes: Bit not by a ROUS but a rattlesnake. Grateful to the staff of Malibu Urgent Care, LA County Fire Dept. and the staff and me…",2022-04-26 03:36:01+00:00,Twitter Web App,"{'retweet_count': 359, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,359,0,0,0
12,1518795758404788224,I know that was painful and hope it all turned out ok! I work in orthopaedics  and can’t imagine how painful that was! https://t.co/OT5yVxwRiG,2022-04-26 03:35:01+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
13,1518795390513934337,'Princess Bride' star Cary Elwes hospitalized after being bitten by rattlesnake https://t.co/ECXQJJQh4T,2022-04-26 03:33:33+00:00,OxfordBlue-Twitter,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
14,1518795077157490691,"RT @Cary_Elwes: Bit not by a ROUS but a rattlesnake. Grateful to the staff of Malibu Urgent Care, LA County Fire Dept. and the staff and me…",2022-04-26 03:32:18+00:00,Twitter Web App,"{'retweet_count': 359, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,359,0,0,0
15,1518794915089567744,I don’t want a rattlesnake to bite my lips  @awestre57,2022-04-26 03:31:40+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
