,id,tweet_text,created_at,source,public_metrics,language,retweet_count,reply_count,like_count,quote_count
0,1514435638677970948,RT @louietraub: Pfizer tried hiding nine pages of adverse reactions from the public for 75 years until a judge forced them to release the d…,2022-04-14 02:49:27+00:00,Twitter Web App,"{'retweet_count': 803, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,803,0,0,0
1,1514435607090503680,RT @Global_HydroLAB: HydroSHEDS reinvented! Check out our latest announcements of upcoming global river data at https://t.co/h2DEA739Sf and…,2022-04-14 02:49:20+00:00,Twitter for iPhone,"{'retweet_count': 282, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,282,0,0,0
2,1514435597703725058,RT @machinelearnflx: Data Science with Python Roadmap from Scratch https://t.co/gOpmIlnw7e  #DataScience,2022-04-14 02:49:18+00:00,Twitter for iPad,"{'retweet_count': 31, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,31,0,0,0
3,1514435537104515073,"RT @UTSA: We're building a one-of-a-kind School of Data Science to serve Texas. When we open our new facility in downtown SA, 30 world-clas…",2022-04-14 02:49:03+00:00,Twitter for iPhone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,2,0,0,0
4,1514435498508488704,"RT @DalianaLiu: Don't let the lack of math skills stops you from getting into data science.

The blog below listed some essential skills. I…",2022-04-14 02:48:54+00:00,Twitter for Android,"{'retweet_count': 468, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,468,0,0,0
5,1514435490539134978,@st_data_science 田中さん、お大事になさってください！m(_ _)m,2022-04-14 02:48:52+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ja,0,0,0,0
6,1514435410860343296,Equally applicable to Data Science projects. Choosing the correct algorithm is just 1% of the project https://t.co/cLTih1CpCI,2022-04-14 02:48:33+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
7,1514435382481412097,RT @louietraub: Pfizer tried hiding nine pages of adverse reactions from the public for 75 years until a judge forced them to release the d…,2022-04-14 02:48:26+00:00,Twitter for Android,"{'retweet_count': 803, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,803,0,0,0
8,1514435373077778435,RT @DaytaDahta: If you want to attend the Toronto Womxn in Data Science Conference and are experiencing barriers to attending send me a dm…,2022-04-14 02:48:24+00:00,Twitter for iPhone,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,3,0,0,0
9,1514435343939997701,RT @louietraub: Pfizer tried hiding nine pages of adverse reactions from the public for 75 years until a judge forced them to release the d…,2022-04-14 02:48:17+00:00,Twitter for iPhone,"{'retweet_count': 803, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,803,0,0,0
