text,retweet_count,success_category
RT @Bolverk15: Every now and then I remember that throwing stuff at high velocity is completely unique to humans so while this is funny for…,323,High
RT @cyankyber: this post is so fucking funny https://t.co/Rm5WQnWSVa,1039,High
"RT @btsretweetsTS50: I’m just finding this so funny. Where you going #Butter??? Let’s not let the queen fall too far, ok? @BTS_twt #BTS #BT…",1406,High
RT @1Tyon: You move funny I move out the way,3424,High
RT @1Tyon: You move funny I move out the way,3424,High
"RT @TheOnion: ""What I desperately, desperately need is for you to think that I’m cool and funny. I need this. Please give me that satisfact…",7769,High
RT @1Tyon: You move funny I move out the way,3424,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,555,High
RT @cyankyber: this post is so fucking funny https://t.co/Rm5WQnWSVa,1039,High
RT @ggelus_: The evolution of how I draw Xiao’s eyes is just too funny to me 😭 https://t.co/gfExw2plEw,1867,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,555,High
RT @Joshscheer: I bet Lea Michele is wishing she could read these Funny Girl reviews,1941,High
RT @Kayjnr10: This video still dey funny me. Herh Salinko 😂🤣😂🤣🤣 https://t.co/OKmUw62b7O,809,High
RT @JoyAnnReid: Isn't it funny how nearly every freak who IMMEDIATELY comments on my posts with some idiocy follows me? And I follow none o…,321,High
"RT @btsretweetsTS50: I’m just finding this so funny. Where you going #Butter??? Let’s not let the queen fall too far, ok? @BTS_twt #BTS #BT…",1406,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,555,High
"RT @yoongisease: ok so @weverseofficial listen up: cheered by artist, dark mode, papago partnership for better translations, curated timeli…",1591,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,555,High
RT @Loudwindow: ffxiv being such a cozy game but having some of the worst capital cities in any mmorpg is so funny to me,526,High
RT @1Tyon: You move funny I move out the way,3424,High
"RT @moonsangie: mingi is so funny he ""danced"" to turbulence lmao https://t.co/xiBBC104xM",688,High
RT @King_freshh: Home Depot A$$ 🥰🔥😳 @kfganggg •YouTube Click Link In Bio Now• ✅ #Trending #OntarioCalifornia #MEMEKBASAH #FunnyMemes #Funny…,479,High
RT @ggelus_: The evolution of how I draw Xiao’s eyes is just too funny to me 😭 https://t.co/gfExw2plEw,1867,High
"RT @yoongisease: ok so @weverseofficial listen up: cheered by artist, dark mode, papago partnership for better translations, curated timeli…",1591,High
RT @1Tyon: You move funny I move out the way,3424,High
RT @kitakitsunes: v*z and their liberties with translating are so funny sometimes like they rly said a lot of words in the atsumu/oikawa in…,711,High
RT @noctolucent: so funny how ranboo linked all his previous attempts at Implying he liked men that all failed because his community respec…,3005,High
"RT @ndrew_lawrence: the truth is, if elon does to this app what he says he will then theres a chance it will destroy him financially and th…",1855,High
"RT @btsretweetsTS50: I’m just finding this so funny. Where you going #Butter??? Let’s not let the queen fall too far, ok? @BTS_twt #BTS #BT…",1406,High
RT @GellertDepp: Amber Heard shooting the judge this look when she sustained an objection against one of her teams ridiculous question is s…,374,High
"RT @ndrew_lawrence: the truth is, if elon does to this app what he says he will then theres a chance it will destroy him financially and th…",1855,High
"RT @BunniesNHomies: This is Barty Bucktooth, might look like a bit of a thug, but he’s actually quite a funny bunny. He runs his own comedy…",550,High
"RT @minggurie: i dont know whats more devastating about the pol movie: joshua saying ""the members laugh at my jokes even when theyre not fu…",1946,High
"RT @yoongisease: ok so @weverseofficial listen up: cheered by artist, dark mode, papago partnership for better translations, curated timeli…",1591,High
RT @616ODlNSON: this shows so fucking funny man https://t.co/QmeYqW2Jbk,515,High
RT @ggelus_: The evolution of how I draw Xiao’s eyes is just too funny to me 😭 https://t.co/gfExw2plEw,1867,High
RT @1Tyon: You move funny I move out the way,3424,High
"RT @yoongisease: ok so @weverseofficial listen up: cheered by artist, dark mode, papago partnership for better translations, curated timeli…",1591,High
RT @TimRunsHisMouth: It's funny how truly afraid leftists are of free speech and opposing viewpoints.,1127,High
"RT @TheOnion: ""What I desperately, desperately need is for you to think that I’m cool and funny. I need this. Please give me that satisfact…",7769,High
"RT @ndrew_lawrence: the truth is, if elon does to this app what he says he will then theres a chance it will destroy him financially and th…",1855,High
RT @JoyAnnReid: Isn't it funny how nearly every freak who IMMEDIATELY comments on my posts with some idiocy follows me? And I follow none o…,321,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,555,High
"RT @taylorlynnea__: Naw coming home drunk really be funny af because you be like damn, im single af &amp; go to bed😂",4419,High
RT @desapyr: i just think its funny that *shoves them closer together* https://t.co/rR4XHYmc7o,276,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,555,High
"RT @LazzaratoXXX: It’s Uncut!!!☝️

 Just to end the war in between the cut and uncut hoes arguing about… ermm.. hmmm… my cock? ⚰️

You guys…",752,High
RT @1Tyon: You move funny I move out the way,3424,High
RT @1Tyon: You move funny I move out the way,3424,High
RT @Loudwindow: ffxiv being such a cozy game but having some of the worst capital cities in any mmorpg is so funny to me,526,High
RT @ggelus_: The evolution of how I draw Xiao’s eyes is just too funny to me 😭 https://t.co/gfExw2plEw,1867,High
"RT @TheOnion: ""What I desperately, desperately need is for you to think that I’m cool and funny. I need this. Please give me that satisfact…",7769,High
RT @ggelus_: The evolution of how I draw Xiao’s eyes is just too funny to me 😭 https://t.co/gfExw2plEw,1867,High
"RT @btsretweetsTS50: I’m just finding this so funny. Where you going #Butter??? Let’s not let the queen fall too far, ok? @BTS_twt #BTS #BT…",1406,High
RT @noctolucent: so funny how ranboo linked all his previous attempts at Implying he liked men that all failed because his community respec…,3005,High
"RT @TheOnion: ""What I desperately, desperately need is for you to think that I’m cool and funny. I need this. Please give me that satisfact…",7769,High
"RT @yoongisease: ok so @weverseofficial listen up: cheered by artist, dark mode, papago partnership for better translations, curated timeli…",1591,High
"RT @moonsangie: mingi is so funny he ""danced"" to turbulence lmao https://t.co/xiBBC104xM",688,High
"RT @NajeebK67849424: Funny Lines Of The Day🤣😂.
Just Retweet don't Ask Why.
#MarchAgainstImportedGovt
 #امپورٹڈ_حکومت_نامنظور✔️
#امپوڑٹڈ_حکو…",216,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,556,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,556,High
RT @1Tyon: You move funny I move out the way,3424,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,556,High
"RT @ndrew_lawrence: the truth is, if elon does to this app what he says he will then theres a chance it will destroy him financially and th…",1855,High
"RT @sokinematic: not the funny girl revival, with a miscast lead, coinciding with the hbo doc on the spring awakening reunion, thereby crea…",352,High
RT @sugatalus: yoongi talking about jungkook’s body oil is funny bc ofc you would know it sir https://t.co/YttbAR7WND,241,High
RT @kitakitsunes: v*z and their liberties with translating are so funny sometimes like they rly said a lot of words in the atsumu/oikawa in…,711,High
"RT @rustburz: people got mad at ranboo for calling the 62% scene funny ""as a straight man"" and suddenly he started biting at the bars of hi…",957,High
"RT @ndrew_lawrence: the truth is, if elon does to this app what he says he will then theres a chance it will destroy him financially and th…",1855,High
"RT @ndrew_lawrence: the truth is, if elon does to this app what he says he will then theres a chance it will destroy him financially and th…",1855,High
RT @1Tyon: You move funny I move out the way,3424,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,556,High
"RT @NajeebK67849424: Funny Lines Of The Day🤣😂.
Just Retweet don't Ask Why.
#MarchAgainstImportedGovt
 #امپورٹڈ_حکومت_نامنظور✔️
#امپوڑٹڈ_حکو…",216,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,556,High
"RT @ndrew_lawrence: the truth is, if elon does to this app what he says he will then theres a chance it will destroy him financially and th…",1855,High
RT @raya17_salvador: Shrek In Spanish is funny asf 😂😂 PINPON,556,High
"RT @minggurie: i dont know whats more devastating about the pol movie: joshua saying ""the members laugh at my jokes even when theyre not fu…",1946,High
RT @kitakitsunes: v*z and their liberties with translating are so funny sometimes like they rly said a lot of words in the atsumu/oikawa in…,711,High
"RT @BANGCHARA426: it's so funny how irl, changbin and chan are considered as the parents while hyunjin and han are their sons

WHEN in skz…",256,High
RT @Loudwindow: ffxiv being such a cozy game but having some of the worst capital cities in any mmorpg is so funny to me,526,High
"RT @TheOnion: ""What I desperately, desperately need is for you to think that I’m cool and funny. I need this. Please give me that satisfact…",7769,High
"RT @joeylinn_: It’s funny how much they’re talking about the Suns missing Devin Booker, like the Pelicans don’t have 26 PPG on 61% FG in st…",347,High
"RT @btsretweetsTS50: I’m just finding this so funny. Where you going #Butter??? Let’s not let the queen fall too far, ok? @BTS_twt #BTS #BT…",1406,High
RT @Joshscheer: I bet Lea Michele is wishing she could read these Funny Girl reviews,1941,High
"RT @ndrew_lawrence: the truth is, if elon does to this app what he says he will then theres a chance it will destroy him financially and th…",1855,High
RT @ggelus_: The evolution of how I draw Xiao’s eyes is just too funny to me 😭 https://t.co/gfExw2plEw,1867,High
RT @ggelus_: The evolution of how I draw Xiao’s eyes is just too funny to me 😭 https://t.co/gfExw2plEw,1867,High
