text,retweet_count,success_category
"RT @Imranrazikhan: Funny Lines Of The Day🤣😂.
Just Retweet don't Ask Why.
#MarchAgainstImportedGovt
 #امپورٹڈ_حکومت_نامنظور✔️
#امپوڑٹڈ_حکومت…",125,Medium
RT @BillyM2k: the best things in life are funny,144,Medium
RT @Mulberrykook: This will forever be funny to me 🤭🤭 https://t.co/bR3lwEsRL8,131,Medium
RT @mitsumetesana: its funny and kinda sad when i read fan reviews from jpop idol female fans who went to 2wice concert and they talk about…,150,Medium
"RT @IMAO_: I didn’t think The Babylon Bee joke was that humorous, but the absurdity of them getting banned for calling an adult male a man…",163,Medium
RT @BillyM2k: the best things in life are funny,144,Medium
RT @nessapjm: this is so funny we know damn well we not moving to that app 😭,101,Medium
RT @jonlovett: Tons of damning stuff in here but this is so funny. https://t.co/eQxrAq8Gsy https://t.co/yR3PsVGXjU,159,Medium
"RT @Kayjnr10: I remember I dmed one lady sometime back concerning a gig someone wanted to give me back in 2020 or so.

It was for ladies on…",107,Medium
"RT @IMAO_: I didn’t think The Babylon Bee joke was that humorous, but the absurdity of them getting banned for calling an adult male a man…",163,Medium
RT @nessapjm: this is so funny we know damn well we not moving to that app 😭,101,Medium
RT @nessapjm: this is so funny we know damn well we not moving to that app 😭,101,Medium
RT @jonlovett: Tons of damning stuff in here but this is so funny. https://t.co/eQxrAq8Gsy https://t.co/yR3PsVGXjU,159,Medium
RT @Simi_Fehoko: Bro just straight dropped it and stood there lmfaooooo u funny bruh 🤣🤣🤣🤣@MicahhParsons11,199,Medium
"RT @Imranrazikhan: Funny Lines Of The Day🤣😂.
Just Retweet don't Ask Why.
#MarchAgainstImportedGovt
 #امپورٹڈ_حکومت_نامنظور✔️
#امپوڑٹڈ_حکومت…",125,Medium
RT @mitsumetesana: its funny and kinda sad when i read fan reviews from jpop idol female fans who went to 2wice concert and they talk about…,150,Medium
RT @jessica2walton: Pretty funny 😂 #writingcommunity Who else can relate to this? 📚 https://t.co/IAcGC3MNdu,154,Medium
RT @Mulberrykook: This will forever be funny to me 🤭🤭 https://t.co/bR3lwEsRL8,131,Medium
RT @wonshimuniverse: Its funny that everyone will be questioning and blaming his acting gigs for his absence when he's basically juggling a…,179,Medium
RT @jonlovett: Tons of damning stuff in here but this is so funny. https://t.co/eQxrAq8Gsy https://t.co/yR3PsVGXjU,159,Medium
"RT @MemesDnd: Metallic Dragons would be tougher to collect from IMHO.
⚔️😂
from: ServingwithTG
#dungeonsanddragons #rpg  #5e  #fantasy  #fun…",189,Medium
RT @Mulberrykook: This will forever be funny to me 🤭🤭 https://t.co/bR3lwEsRL8,131,Medium
"RT @Imranrazikhan: Funny Lines Of The Day🤣😂.
Just Retweet don't Ask Why.
#MarchAgainstImportedGovt
 #امپورٹڈ_حکومت_نامنظور✔️
#امپوڑٹڈ_حکومت…",125,Medium
RT @King_freshh: Finger Bang Action 😉 @kfganggg •YouTube Click Link In Bio Now• ✅ #Trending #OntarioCalifornia #MEMEKBASAH #FunnyMemes #Fun…,182,Medium
RT @Bret_Sears: It's going to be funny watching @JustinTrudeau and his handlers try to censor the Internet now. Haha!,140,Medium
"RT @0Iuwatosin: It's funny how pple think when we accept Christ, we shouldnt be too loud about it

When some of us were in the world, we br…",167,Medium
RT @mitsumetesana: its funny and kinda sad when i read fan reviews from jpop idol female fans who went to 2wice concert and they talk about…,150,Medium
RT @BillyM2k: the best things in life are funny,144,Medium
"RT @Kayjnr10: I remember I dmed one lady sometime back concerning a gig someone wanted to give me back in 2020 or so.

It was for ladies on…",107,Medium
